"id","Wind Speed (km/h)","Wind Bearing (degrees)","Visibility (km)","Loud Cover"
"487","7.9373","106","9.9015","0"
"488","11.27","108","9.7566","0"
"489","10.6743","132","9.4346","0"
"490","19.8996","138","9.9015","0"
"491","19.4166","157","9.9015","0"
"492","17.0499","147","9.982","0"
"493","16.8728","136","10.0464","0"
"494","17.3397","129","10.0464","0"
"495","21.9604","140","10.4006","0"
"496","19.8191","157","10.0464","0"
"497","16.4703","156","11.27","0"
"498","13.7977","137","11.4471","0"
"499","9.7888","147","11.27","0"
"500","14.0553","121","11.2056","0"
"501","11.2861","122","9.9015","0"
"502","13.9426","129","11.27","0"
"503","11.0285","139","14.812","0"
"504","10.8031","150","14.9569","0"
"505","11.1734","139","15.8263","0"
"506","10.8997","159","15.8263","0"
"507","13.1859","142","14.9569","0"
"508","10.948","141","15.8263","0"
"509","11.109","160","14.9086","0"
"510","13.524","157","14.9569","0"
"511","15.5848","139","9.982","0"
"512","21.5257","149","9.982","0"
"513","22.9586","150","10.3523","0"
"514","26.4845","149","11.2056","0"
"515","26.726","149","9.982","0"
"516","23.3611","149","10.3523","0"
"517","28.0623","148","9.982","0"
"518","27.9013","158","9.982","0"
"519","25.7439","155","10.3523","0"
"520","26.3557","158","9.982","0"
"521","25.0516","129","9.982","0"
"522","25.5668","141","10.3523","0"
"523","23.3289","148","9.982","0"
"524","20.0284","158","9.982","0"
"525","14.9569","157","10.3523","0"
"526","22.9425","160","9.982","0"
"527","19.6581","159","15.8263","0"
"528","20.7368","157","14.9569","0"
"529","5.8443","189","14.6349","0"
"530","5.2486","246","11.6725","0"
"531","12.3165","328","14.9569","0"
"532","6.2951","80","11.6725","0"
"533","1.8515","149","9.6761","0"
"534","9.6761","302","9.6922","0"
"535","0.4347","53","0.4669","0"
"536","0.1449","230","5.8443","0"
"537","0.7245","18","5.3935","0"
"538","7.2611","159","9.5312","0"
"539","3.8801","245","11.1251","0"
"540","4.669","291","11.3988","0"
"541","5.474","312","11.27","0"
"542","2.6726","211","11.27","0"
"543","3.9928","296","10.8997","0"
"544","1.6744","264","11.27","0"
"545","4.4275","41","11.27","0"
"546","5.6672","12","11.3988","0"
"547","12.7351","70","11.2056","0"
"548","3.7191","62","15.8263","0"
"549","7.9373","307","9.982","0"
"550","9.7083","339","9.982","0"
"551","16.9855","348","15.8263","0"
"552","10.8514","311","14.9569","0"
"553","16.9855","150","15.8263","0"
"554","16.9211","140","15.8263","0"
"555","15.939","150","14.9569","0"
"556","16.6474","139","15.8263","0"
"557","13.3952","138","15.8263","0"
"558","13.3791","119","14.9569","0"
"559","12.8317","117","9.982","0"
"560","11.1412","98","9.982","0"
"561","7.1806","90","15.3111","0"
"562","21.5579","128","9.982","0"
"563","17.3075","129","9.982","0"
"564","24.5203","132","11.4471","0"
"565","20.3665","147","11.2056","0"
"566","14.4417","129","11.2056","0"
"567","18.0159","124","11.3988","0"
"568","15.8263","158","11.2056","0"
"569","17.2431","148","11.2056","0"
"570","16.8728","150","11.3988","0"
"571","15.3111","158","11.2056","0"
"572","20.9139","168","9.982","0"
"573","13.3469","166","10.3523","0"
"574","9.4346","159","9.982","0"
"575","6.7781","152","15.8263","0"
"576","14.4095","160","15.3111","0"
"577","7.084","310","15.8263","0"
"578","14.4256","310","15.8263","0"
"579","1.0143","140","3.4454","0"
"580","11.6725","320","15.8263","0"
"581","14.6188","319","15.8263","0"
"582","11.8496","309","14.8764","0"
"583","14.49","320","10.948","0"
"584","23.3289","320","10.948","0"
"585","26.8387","330","11.2056","0"
"586","22.7815","329","7.9695","0"
"587","14.2163","328","6.118","0"
"588","9.7727","299","10.0625","0"
"589","15.778","291","11.27","0"
"590","11.3183","291","11.27","0"
"591","4.2021","292","11.0768","0"
"592","1.3041","173","11.27","0"
"593","3.6869","129","11.2056","0"
"594","6.4078","211","11.3988","0"
"595","9.8049","176","11.2056","0"
"596","8.4042","164","11.2056","0"
"597","9.5151","152","9.982","0"
"598","7.3738","152","9.982","0"
"599","5.796","155","15.8263","0"
"600","6.279","156","14.168","0"
"601","5.8926","157","8.1305","0"
"602","10.9158","190","3.3649","0"
"603","3.6386","194","15.0052","0"
"604","6.0697","171","4.7495","0"
"605","6.0697","178","5.2164","0"
"606","5.8926","183","5.9248","0"
"607","7.9695","167","0.5152","0"
"608","5.2808","169","2.737","0"
"609","9.1126","135","5.6833","0"
"610","15.6814","132","11.2056","0"
"611","20.7046","141","9.982","0"
"612","20.1572","151","11.0285","0"
"613","23.9729","160","11.2056","0"
"614","23.9568","170","11.2056","0"
"615","22.6849","150","11.3988","0"
"616","26.7743","160","11.2056","0"
"617","20.8817","160","9.982","0"
"618","17.1948","151","10.3523","0"
"619","14.1197","159","11.2056","0"
"620","11.1251","140","11.2056","0"
"621","11.6886","130","9.982","0"
"622","14.2324","149","11.2056","0"
"623","6.2629","235","15.8263","0"
"624","18.1286","229","14.8764","0"
"625","11.3183","211","15.7297","0"
"626","6.5527","210","15.7297","0"
"627","8.7262","303","9.9015","0"
"628","6.6171","212","14.9569","0"
"629","2.5921","168","11.9784","0"
"630","5.4579","180","6.6976","0"
"631","4.7334","226","10.8836","0"
"632","20.3504","328","3.9767","0"
"633","13.846","322","3.6708","0"
"634","23.6187","319","3.7513","0"
"635","22.0892","329","11.1251","0"
"636","22.1697","331","7.1484","0"
"637","17.7583","342","7.9051","0"
"638","17.4524","324","10.9802","0"
"639","22.4595","7","9.9498","0"
"640","16.1161","10","7.9695","0"
"641","20.4631","1","11.1251","0"
"642","21.1393","0","10.4167","0"
"643","20.6885","11","8.1949","0"
"644","14.0231","10","8.05","0"
"645","14.9408","6","7.3738","0"
"646","11.1251","358","11.0446","0"
"647","14.1197","339","8.05","0"
"648","15.939","348","9.016","0"
"649","13.9748","301","9.9015","0"
"650","14.329","310","9.9015","0"
"651","12.1555","265","13.9104","0"
"652","13.7977","320","9.9015","0"
"653","10.8836","338","9.9015","0"
"654","13.3952","322","9.016","0"
"655","16.8889","320","11.1251","0"
"656","15.3433","330","9.982","0"
"657","18.1769","337","9.982","0"
"658","17.3719","0","9.982","0"
"659","16.261","352","11.2056","0"
"660","12.9122","359","11.4471","0"
"661","20.4953","339","11.2056","0"
"662","23.2162","340","11.2056","0"
"663","19.2878","339","11.3988","0"
"664","14.2646","337","11.2056","0"
"665","12.558","337","11.2056","0"
"666","9.3541","312","11.3988","0"
"667","7.6636","335","11.2056","0"
"668","4.4597","345","11.2056","0"
"669","2.6243","350","11.0285","0"
"670","3.059","275","11.2056","0"
"671","6.2629","268","15.8263","0"
"672","6.3434","267","14.9569","0"
"673","6.2146","270","15.7297","0"
"674","10.2879","269","6.118","0"
"675","5.635","181","14.9569","0"
"676","6.0536","289","15.6492","0"
"677","5.9248","351","14.7315","0"
"678","3.2361","271","13.6528","0"
"679","1.5939","165","6.118","0"
"680","4.5724","341","4.5885","0"
"681","0.2254","236","5.8765","0"
"682","14.49","110","9.982","0"
"683","1.6744","30","9.982","0"
"684","6.9391","210","11.0285","0"
"685","7.1323","246","11.2056","0"
"686","9.1609","216","11.2056","0"
"687","9.5795","199","10.3523","0"
"688","9.4829","218","9.982","0"
"689","10.3845","224","9.982","0"
"690","12.2038","211","10.3523","0"
"691","12.4453","187","9.982","0"
"692","9.8371","187","9.982","0"
"693","7.6475","163","9.982","0"
"694","9.7405","160","9.982","0"
"695","6.7459","161","15.8263","0"
"696","6.2146","165","14.9569","0"
"697","6.4078","163","15.8263","0"
"698","6.601","180","15.8263","0"
"699","13.3791","161","14.9569","0"
"700","6.6332","169","15.8263","0"
"701","3.4776","142","14.9086","0"
"702","6.2307","141","11.2539","0"
"703","10.7065","121","5.0393","0"
"704","10.7226","130","6.9874","0"
"705","11.8979","141","9.5473","0"
"706","11.4793","142","9.982","0"
"707","17.8066","160","9.982","0"
"708","19.6259","150","9.982","0"
"709","20.6241","151","9.982","0"
"710","16.0839","150","9.982","0"
"711","14.7798","149","15.3111","0"
"712","16.1","159","9.982","0"
"713","16.2288","159","9.982","0"
"714","14.1358","167","10.3523","0"
"715","14.49","159","9.982","0"
"716","9.7083","158","9.982","0"
"717","10.3845","129","9.982","0"
"718","10.9319","130","9.982","0"
"719","11.1734","138","15.8263","0"
"720","13.6206","140","14.9569","0"
"721","3.22","310","15.8263","0"
"722","6.0375","291","15.8263","0"
"723","9.2253","354","14.8764","0"
"724","5.9248","272","14.812","0"
"725","3.1234","303","14.812","0"
"726","2.9302","338","14.0231","0"
"727","7.8407","50","9.7566","0"
"728","1.61","20","9.7566","0"
"729","3.1717","41","9.9015","0"
"730","1.7388","139","9.982","0"
"731","2.9463","75","9.982","0"
"732","2.7531","186","11.3988","0"
"733","7.728","161","10.0464","0"
"734","7.3416","249","10.0464","0"
"735","7.1645","168","10.3523","0"
"736","12.6224","199","11.27","0"
"737","12.0911","190","11.27","0"
"738","8.9194","210","10.3523","0"
"739","13.4113","189","9.982","0"
"740","7.9695","205","9.9015","0"
"741","6.2307","55","10.2718","0"
"742","4.4275","64","10.0464","0"
"743","12.8478","17","15.8746","0"
"744","11.8496","5","14.7154","0"
"745","3.3327","263","14.9086","0"
"746","3.3649","280","15.8263","0"
"747","3.6225","321","14.168","0"
"748","3.2039","291","15.7297","0"
"749","3.1234","274","15.6492","0"
"750","3.6064","308","13.8943","0"
"751","3.0912","295","10.8192","0"
"752","4.508","322","9.6761","0"
"753","8.6135","348","9.7083","0"
"754","9.3058","341","0.9982","0"
"755","10.6421","340","4.5885","0"
"756","14.0392","341","10.948","0"
"757","13.9426","340","12.0428","0"
"758","10.8192","348","11.27","0"
"759","10.2074","333","15.3111","0"
"760","9.4024","352","11.27","0"
"761","7.6636","348","11.27","0"
"762","9.0482","341","11.4471","0"
"763","7.5992","358","11.27","0"
"764","11.27","340","11.1251","0"
"765","12.2682","329","11.4471","0"
"766","16.1966","20","11.2056","0"
"767","13.2664","29","14.9086","0"
"768","12.6868","7","14.9569","0"
"769","10.5294","338","15.8263","0"
"770","6.3756","328","15.8263","0"
"771","3.5259","315","14.9569","0"
"772","2.6565","55","14.9086","0"
"773","6.6332","289","15.8263","0"
"774","6.9874","307","14.9569","0"
"775","9.4507","299","11.2056","0"
"776","12.3809","299","11.2056","0"
"777","15.8746","306","9.982","0"
"778","22.1053","309","9.982","0"
"779","20.2055","300","9.982","0"
"780","15.1501","309","9.982","0"
"781","17.2431","290","11.27","0"
"782","15.5848","309","11.27","0"
"783","16.422","308","11.4471","0"
"784","21.6867","290","11.27","0"
"785","20.0767","290","9.982","0"
"786","18.6599","288","10.3523","0"
"787","16.9855","299","9.982","0"
"788","12.397","290","11.2056","0"
"789","7.3255","280","11.3988","0"
"790","4.7817","260","9.982","0"
"791","3.4615","256","15.8263","0"
"792","6.3434","279","14.9569","0"
